t,T
51.625,849.184
51.75,852.127
51.875,855.063
52,857.995
52.125,860.918
52.25,863.835
52.375,866.744
52.5,869.645
52.625,872.537
52.75,875.416
52.875,878.279
53,881.132
53.125,883.977
53.25,886.811
53.375,889.634
53.5,892.446
53.625,895.249
53.75,898.042
53.875,900.822
54,903.584
54.125,906.333
54.25,909.07
54.375,911.794
54.5,914.505
54.625,917.205
54.75,919.894
54.875,922.572
55,925.24
55.125,927.89
55.25,930.525
55.375,933.143
55.5,935.747
55.625,938.337
55.75,940.915
55.875,943.482
56,946.037
56.125,948.582
56.25,951.115
56.375,953.63
56.5,956.126
56.625,958.606
56.75,961.071
56.875,963.523
57,965.963
57.125,968.39
57.25,970.805
57.375,973.209
57.5,975.601
57.625,977.978
57.75,980.333
57.875,982.672
58,984.996
58.125,987.307
58.25,989.604
58.375,991.888
58.5,994.159
58.625,996.419
58.75,998.666
58.875,1000.9
59,1003.12
59.125,1005.32
59.25,1007.5
59.375,1009.67
59.5,1011.83
59.625,1013.97
59.75,1016.1
59.875,1018.21
60,1020.31
60.125,1022.4
60.25,1024.48
60.375,1026.55
60.5,1028.6
60.625,1030.63
60.75,1032.65
60.875,1034.66
61,1036.65
61.125,1038.63
61.25,1040.6
61.375,1042.55
61.5,1044.49
61.625,1046.42
61.75,1048.33
61.875,1050.24
62,1052.12
62.125,1054
62.25,1055.87
62.375,1057.73
62.5,1059.57
62.625,1061.4
62.75,1063.21
62.875,1065.01
63,1066.8
63.125,1068.57
63.25,1070.33
63.375,1072.08
63.5,1073.82
63.625,1075.54
63.75,1077.25
63.875,1078.96
64,1080.65
64.125,1082.33
64.25,1084
64.375,1085.65
64.5,1087.29
64.625,1088.92
64.75,1090.53
64.875,1092.13
65,1093.72
65.125,1095.29
65.25,1096.85
65.375,1098.4
65.5,1099.94
65.625,1101.46
65.75,1102.97
65.875,1104.48
66,1105.97
66.125,1107.45
66.25,1108.91
66.375,1110.37
66.5,1111.8
66.625,1113.23
66.75,1114.64
66.875,1116.04
67,1117.43
67.125,1118.8
67.25,1120.16
67.375,1121.51
67.5,1122.84
67.625,1124.16
67.75,1125.47
67.875,1126.76
68,1128.04
68.125,1129.32
68.25,1130.58
68.375,1131.83
68.5,1133.06
68.625,1134.28
68.75,1135.49
68.875,1136.69
69,1137.87
69.125,1139.04
69.25,1140.19
69.375,1141.33
69.5,1142.46
69.625,1143.57
69.75,1144.67
69.875,1145.76
70,1146.84
70.125,1147.9
70.25,1148.94
70.375,1149.98
70.5,1151
70.625,1152.01
70.75,1153.01
70.875,1153.99
71,1154.96
71.125,1155.92
71.25,1156.86
71.375,1157.79
71.5,1158.71
71.625,1159.61
71.75,1160.5
71.875,1161.38
72,1162.24
72.125,1163.09
72.25,1163.92
72.375,1164.75
72.5,1165.55
72.625,1166.35
72.75,1167.13
72.875,1167.89
73,1168.65
73.125,1169.39
73.25,1170.11
73.375,1170.82
73.5,1171.52
73.625,1172.21
73.75,1172.88
73.875,1173.54
74,1174.18
74.125,1174.81
74.25,1175.43
74.375,1176.03
74.5,1176.62
74.625,1177.19
74.75,1177.75
74.875,1178.3
75,1178.83
75.125,1179.35
75.25,1179.86
75.375,1180.35
75.5,1180.82
75.625,1181.29
75.75,1181.73
75.875,1182.17
76,1182.59
76.125,1182.99
76.25,1183.39
76.375,1183.76
76.5,1184.12
76.625,1184.47
76.75,1184.81
76.875,1185.13
77,1185.43
77.125,1185.72
77.25,1186
77.375,1186.26
77.5,1186.51
77.625,1186.74
77.75,1186.96
77.875,1187.16
78,1187.35
78.125,1187.53
78.25,1187.69
78.375,1187.84
78.5,1187.97
78.625,1188.08
78.75,1188.18
78.875,1188.27
79,1188.34
79.125,1188.4
79.25,1188.44
79.375,1188.47
79.5,1188.48
79.625,1188.47
79.75,1188.45
79.875,1188.42
80,1188.37
80.125,1188.31
80.25,1188.23
80.375,1188.13
80.5,1188.02
80.625,1187.89
80.75,1187.75
80.875,1187.59
81,1187.42
81.125,1187.23
81.25,1187.03
81.375,1186.8
81.5,1186.57
81.625,1186.31
81.75,1186.05
81.875,1185.76
82,1185.46
82.125,1185.14
82.25,1184.81
82.375,1184.46
82.5,1184.09
82.625,1183.71
82.75,1183.31
82.875,1182.89
83,1182.46
83.125,1182.01
83.25,1181.55
83.375,1181.07
83.5,1180.57
83.625,1180.05
83.75,1179.52
83.875,1178.97
84,1178.4
84.125,1177.82
84.25,1177.22
84.375,1176.6
84.5,1175.96
84.625,1175.31
84.75,1174.64
84.875,1173.95
85,1173.24
85.125,1172.52
85.25,1171.78
85.375,1171.02
85.5,1170.24
85.625,1169.45
85.75,1168.64
85.875,1167.81
86,1166.96
86.125,1166.09
86.25,1165.21
86.375,1164.3
86.5,1163.38
86.625,1162.44
86.75,1161.48
86.875,1160.51
87,1159.51
87.125,1158.5
87.25,1157.47
87.375,1156.42
87.5,1155.35
87.625,1154.27
87.75,1153.16
87.875,1152.04
88,1150.9
88.125,1149.74
88.25,1148.56
88.375,1147.36
88.5,1146.15
88.625,1144.91
88.75,1143.66
88.875,1142.39
89,1141.1
89.125,1139.79
89.25,1138.47
89.375,1137.12
89.5,1135.76
89.625,1134.38
89.75,1132.98
89.875,1131.57
90,1130.13
90.125,1128.68
90.25,1127.21
90.375,1125.72
90.5,1124.21
90.625,1122.69
90.75,1121.14
90.875,1119.58
91,1118.01
91.125,1116.41
91.25,1114.8
91.375,1113.17
91.5,1111.52
91.625,1109.86
91.75,1108.18
91.875,1106.48
92,1104.76
92.125,1103.03
92.25,1101.28
92.375,1099.52
92.5,1097.74
92.625,1095.94
92.75,1094.13
92.875,1092.3
93,1090.45
93.125,1088.59
93.25,1086.71
93.375,1084.82
93.5,1082.92
93.625,1080.99
93.75,1079.06
93.875,1077.11
94,1075.14
94.125,1073.16
94.25,1071.16
94.375,1069.16
94.5,1067.13
94.625,1065.1
94.75,1063.04
94.875,1060.98
95,1058.9
95.125,1056.81
95.25,1054.71
95.375,1052.59
95.5,1050.47
95.625,1048.33
95.75,1046.17
95.875,1044.01
96,1041.83
96.125,1039.64
96.25,1037.43
96.375,1035.22
96.5,1032.99
96.625,1030.75
96.75,1028.5
96.875,1026.24
97,1023.98
97.125,1021.7
97.25,1019.4
97.375,1017.1
97.5,1014.79
97.625,1012.47
97.75,1010.14
97.875,1007.79
98,1005.44
98.125,1003.09
98.25,1000.72
98.375,998.356
98.5,995.983
98.625,993.604
98.75,991.221
98.875,988.833
99,986.443
99.125,984.05
99.25,981.657
99.375,979.263
99.5,976.869
99.625,974.477
99.75,972.086
99.875,969.697
100,967.31
100.125,964.927
100.25,962.548
100.375,960.174
100.5,957.805
100.625,955.442
100.75,953.085
100.875,950.735
101,948.392
101.125,946.058
101.25,943.731
101.375,941.414
101.5,939.106
101.625,936.808
101.75,934.52
101.875,932.243
102,929.977
102.125,927.723
102.25,925.48
102.375,923.251
102.5,921.034
102.625,918.829
102.75,916.639
102.875,914.462
103,912.3
103.125,910.153
103.25,908.021
103.375,905.905
103.5,903.805
103.625,901.723
103.75,899.658
103.875,897.611
104,895.579
104.125,893.565
104.25,891.569
104.375,889.592
104.5,887.634
104.625,885.696
104.75,883.778
104.875,881.881
105,880.004
105.125,878.149
105.25,876.316
105.375,874.506
105.5,872.716
105.625,870.945
105.75,869.193
105.875,867.46
106,865.748
106.125,864.055
106.25,862.383
106.375,860.731
106.5,859.099
106.625,857.487
106.75,855.895
106.875,854.322
107,852.769
107.125,851.236
107.25,849.723
107.375,848.228
107.5,846.747
107.625,845.279
107.75,843.825
107.875,842.385
108,840.959
108.125,839.548
108.25,838.151
108.375,836.767
108.5,835.398
108.625,834.042
108.75,832.699
108.875,831.37
109,830.054
109.125,828.751
109.25,827.462
109.375,826.185
109.5,824.921
109.625,823.669
109.75,822.427
109.875,821.194
110,819.969
110.125,818.752
110.25,817.544
110.375,816.345
110.5,815.155
110.625,813.973
110.75,812.8
110.875,811.637
111,810.482
111.125,809.335
111.25,808.198
111.375,807.069
111.5,805.949
111.625,804.838
111.75,803.735
111.875,802.641
112,801.555
112.125,800.478
112.25,799.409
112.375,798.348
112.5,797.293
112.625,796.245
112.75,795.204
112.875,794.168
113,793.139
113.125,792.116
113.25,791.099
113.375,790.089
113.5,789.085
113.625,788.087
113.75,787.095
113.875,786.109
114,785.13
114.125,784.157
114.25,783.19
114.375,782.229
114.5,781.273
114.625,780.324
